traccia,y_Mano,y_predict5,y_predict6,y_predict1,y_predict0,y_predict2,y_predict3,y_predict4
1015721.IV.ATBU..EH,1,0.99173963,0.99392575,0.9870884,0.9892944,0.98483664,0.98892885,0.99170905
1015721.IV.ATMC..EH,1,0.99782085,0.9967789,0.9972268,0.9981444,0.99538016,0.9952551,0.99771714
1015721.IV.ATMI..HH,0,0.011311012,0.00972865,0.012683202,0.012492676,0.008003986,0.006984581,0.013171368
1015721.IV.ATVA..EH,1,0.99649066,0.99388796,0.9940469,0.99516404,0.9902852,0.9871803,0.9944106
1015721.IV.SSP9..EH,0,0.0066182986,0.011627402,0.0030555034,0.0090939235,0.0057266345,0.0071520335,0.006826385
1015721.IV.TRIF..HH,1,0.23141961,0.34055176,0.4190319,0.3220688,0.45786697,0.44101843,0.28102812
1015891.IV.ATMC..EH,0,0.0091763185,0.00998244,0.0062362365,0.0070620095,0.008689098,0.0046783485,0.0056749564
1015891.IV.ATPI..EH,0,0.005954215,0.005976984,0.005285243,0.008107964,0.006294303,0.0052102995,0.0063297916
1015891.IV.SSP9..EH,0,0.00499552,0.0045647533,0.006887625,0.0052700457,0.004943987,0.0049201827,0.0032095083
1015931.IV.FROS..HH,1,0.9989073,0.99847764,0.9988034,0.9985245,0.9978817,0.99779105,0.99892265
1018091.IV.RAVA..EH,0,0.0010439487,0.0011310606,0.002279066,0.0014442453,0.000983813,0.0009959148,0.0005300059
1018161.IV.RAVA..EH,0,0.0026706199,0.0039248923,0.0019662227,0.0039815553,0.0021342167,0.002662252,0.0029865324
1019451.IV.T0822..EH,1,0.978466,0.9270939,0.96774656,0.94062907,0.97160476,0.97922224,0.97675186
1024461.IV.ARCI..HH,0,0.0049063647,0.0057457173,0.008238365,0.003895496,0.0031929126,0.0039819144,0.0049397172
1024461.IV.ATVO..HH,1,0.9919037,0.9916433,0.98924494,0.9917823,0.9859701,0.9823376,0.9930454
1024461.IV.CAFI..HH,1,0.9972561,0.9978668,0.99605596,0.99757,0.9970831,0.9967542,0.9978174
1024461.IV.CRE..HH,1,0.99737835,0.99822026,0.996002,0.9974107,0.9969434,0.99347186,0.9977412
1024461.IV.FROS..HH,1,0.99906045,0.9989611,0.9994199,0.99905735,0.99883634,0.99811506,0.9992624
1024461.IV.PARC..HH,1,0.99655104,0.997207,0.99761057,0.99780875,0.99417865,0.99609274,0.9973053
1025071.IV.T0825..EH,0,0.004757904,0.00743413,0.004627045,0.007341617,0.0060712285,0.007985921,0.002840518
10253491.IV.BDI..HH,1,0.9983438,0.99863213,0.99911374,0.9988955,0.9970317,0.99738747,0.9990414
10253491.IV.MPPT..EH,1,0.79262483,0.7008488,0.77309394,0.79484904,0.70766133,0.64506614,0.64478624
10253491.IV.MTCR..EH,1,0.9990453,0.998509,0.99944955,0.9992034,0.9987801,0.9991357,0.9987859
1028501.IV.RAVA..EH,0,0.0037481526,0.003214213,0.0030694106,0.0027339046,0.001975209,0.0033139768,0.0025277296
10298611.GU.GRAM..HH,1,0.99855536,0.99852705,0.9987091,0.9982206,0.9967706,0.99593997,0.9985586
10299001.GU.EQUI..HH,0,0.0018482017,0.002540021,0.0035807854,0.0026944587,0.0026736925,0.0020834177,0.0016867763
10299001.GU.GRAM..HH,1,0.9993747,0.99945027,0.999196,0.99919015,0.9989905,0.9982408,0.99959654
10299341.GU.GRAM..HH,1,0.9988939,0.99885774,0.9985832,0.99793696,0.99806625,0.9965479,0.99904317
10299341.IV.MSSA..HH,1,0.998304,0.9984989,0.9975516,0.9984665,0.998473,0.99803585,0.99885404
10299721.GU.GRAM..HH,1,0.9986211,0.9988306,0.99885964,0.99880767,0.99816316,0.99596417,0.9989374
10299721.IV.MSSA..HH,1,0.9970829,0.99689925,0.99802977,0.9970085,0.99686426,0.99594575,0.9977023
10309171.GU.EQUI..HH,1,0.9980862,0.99848974,0.99821186,0.9986368,0.99755895,0.99617827,0.9987055
10309171.GU.GRAM..HH,1,0.9986473,0.9981342,0.9983896,0.99815625,0.99816066,0.99783117,0.9988225
10309171.IV.MSSA..HH,1,0.9978404,0.9979419,0.99792755,0.9975719,0.9962179,0.9971213,0.99893755
10320361.GU.GSCL..HH,1,0.9992072,0.9986166,0.99918085,0.9981705,0.9977457,0.9985532,0.99936765
10320361.IV.ZCCA..HH,0,0.009138093,0.010730079,0.0035708875,0.011391888,0.008957032,0.004754855,0.012882398
1032441.IV.BOB..HH,0,0.005266872,0.008663269,0.003276411,0.0054520816,0.0032576432,0.0030262133,0.0035236897
1032441.GU.MAIM..HH,1,0.99578613,0.9939188,0.9952726,0.99381447,0.9899408,0.9889697,0.9929803
1032441.IV.MSSA..HH,1,0.9965423,0.99592006,0.9987191,0.9955396,0.9952897,0.9931538,0.99617213
1032881.IV.RAVA..EH,1,0.9989512,0.99851614,0.9984811,0.9992613,0.99819416,0.99788696,0.99874663
1032881.IV.SERM..EH,1,0.9595439,0.9347002,0.9515891,0.92353153,0.9103275,0.9534696,0.9694741
1032881.IV.T0800..HH,1,0.9976827,0.99813217,0.9980002,0.99780947,0.9971734,0.99632484,0.99893993
1032881.IV.T0822..EH,0,0.001535092,0.0012894265,0.001029238,0.0024477388,0.0014163905,0.0014586971,0.0006873659
1033861.IV.RAVA..EH,0,0.005930656,0.0071879565,0.009304126,0.008352764,0.008954786,0.011650073,0.007658138
1033861.IV.T0825..EH,1,0.99902403,0.9989938,0.9956802,0.99883896,0.9984927,0.99687,0.9989225
1034661.IV.T0822..EH,1,0.9874385,0.99239916,0.9957716,0.98630583,0.9892392,0.98431474,0.99240065
1034901.IV.RAVA..EH,0,0.0019186438,0.0010021897,0.0010322527,0.0017806422,0.00082671124,0.00065269147,0.0012793666
1035011.NI.CGRP..HH,0,0.0018311938,0.0022731891,0.0036317604,0.0030496567,0.002262736,0.0029230646,0.0019828451
1035011.IV.CTI..HH,0,0.0025345446,0.003680033,0.007915862,0.0046650586,0.0034391202,0.0038775045,0.0053863246
1035011.IV.FIU..EH,1,0.99249625,0.9885703,0.98046875,0.9868448,0.98540765,0.9827958,0.9919007
1035011.SI.KOSI..HH,0,0.0024178524,0.0023153606,0.004461375,0.0036032025,0.002357088,0.0022766243,0.0019615074
1035011.IV.PLMA..HH,1,0.9958896,0.99621826,0.99652606,0.996363,0.992968,0.99399346,0.9960588
1035011.IV.RAVA..EH,0,0.001812532,0.00143378,0.0010706313,0.0022039812,0.0015423592,0.0017930894,0.0011007095
1035011.IV.ROVR..HH,0,0.014625535,0.01498031,0.043491162,0.02211547,0.02674009,0.03397573,0.045931187
1035011.IV.T0800..HH,1,0.9923199,0.9938002,0.99809736,0.99492246,0.99494946,0.9959168,0.9966558
1035011.IV.T0822..EH,1,0.99895906,0.9990835,0.9994012,0.9989932,0.9986828,0.99829525,0.9990926
1035011.IV.TEOL..HH,0,0.0011590023,0.00131843,0.0010860555,0.0016606529,0.001161608,0.0012300366,0.0012015966
1035011.IV.ZCCA..HH,0,0.014297395,0.033652365,0.02745768,0.03793847,0.026918588,0.04998759,0.025739208
1035061.IV.CSNT..HH,1,0.9970298,0.99691236,0.9982085,0.996615,0.99614006,0.9974661,0.9976413
1035061.IV.FIU..EH,0,0.0032057196,0.0043514213,0.0048218463,0.0045772456,0.0038677263,0.0033721335,0.0033170746
1035061.IV.RAVA..EH,1,0.99589974,0.9939693,0.9963546,0.99469006,0.99308664,0.995061,0.9956084
1035061.IV.T0800..HH,1,0.99594337,0.9975955,0.99871063,0.99427766,0.9931579,0.99439776,0.99743336
1035061.IV.T0822..EH,0,0.0026131098,0.002598993,0.0008674712,0.0037330785,0.0041787084,0.0027530394,0.0014222013
1035121.IV.RAVA..EH,0,0.0033640552,0.0028184769,0.0020593314,0.004976751,0.0019009311,0.00270446,0.0034676273
10351661.GU.EQUI..HH,1,0.9964367,0.99687153,0.9966683,0.9965926,0.9964079,0.994134,0.9973335
10351661.GU.GRAM..HH,1,0.99838376,0.9981495,0.9983468,0.99761343,0.99797255,0.99696726,0.9987704
1035171.IV.RAVA..EH,0,0.0033255636,0.0029308829,0.002104389,0.0036635275,0.0020330031,0.0025099337,0.0022837364
1035171.IV.SERM..EH,1,0.52613574,0.7091961,0.15832546,0.4854123,0.62985957,0.48173857,0.6194919
1035311.IV.RAVA..EH,0,0.009544779,0.01170103,0.010818908,0.015755992,0.007931988,0.007891309,0.008147936
1035311.IV.T0800..HH,0,0.017803881,0.016678477,0.00669428,0.013796559,0.016192492,0.009905885,0.013762209
1038631.IV.T0822..EH,1,0.010019443,0.014856571,0.013187703,0.010702867,0.0053410716,0.0063597634,0.008412342
1039091.IV.T0800..HH,1,0.99906343,0.9991837,0.99942774,0.9983998,0.9987723,0.9989889,0.9990004
1039651.IV.FIU..EH,1,0.5897688,0.64541787,0.13811876,0.582066,0.61486375,0.4451967,0.45821705
1039651.IV.T0820..EH,1,0.8858573,0.9112105,0.9657475,0.9082262,0.9195008,0.8852624,0.88308984
1039651.IV.T0821..EH,1,0.8200076,0.6620206,0.79649943,0.85157084,0.74643576,0.71351737,0.7256359
1039651.IV.T0822..EH,1,0.98335636,0.9854515,0.98143196,0.97261274,0.9668387,0.9458359,0.98171324
10418321.IV.IMOL..EH,1,0.9911594,0.985543,0.9881615,0.9887616,0.96887577,0.97850615,0.9907968
1042731.IV.RAVA..EH,0,0.014189263,0.012314183,0.020347802,0.019154986,0.009608876,0.008712446,0.014914453
1042731.IV.T0800..HH,0,0.015875349,0.010536044,0.0041894214,0.00854991,0.0041293376,0.0070088846,0.013812755
1042731.IV.T0822..EH,1,0.9982698,0.99807405,0.9990081,0.9978065,0.99771273,0.99798775,0.9989448
10484811.IV.BDI..HH,1,0.9984034,0.9980829,0.99858296,0.99765426,0.9982326,0.99746585,0.99845445
10484811.GU.GSCL..HH,0,0.0016667125,0.003125428,0.0012009398,0.0031675007,0.0014101496,0.0022475543,0.0020779297
10484811.MN.VLC..HH,1,0.9988507,0.9985701,0.99846786,0.99871516,0.9974106,0.997931,0.99867034
10484811.IV.ZCCA..HH,1,0.9985611,0.99891686,0.998555,0.99885523,0.99829537,0.99782974,0.99858236
1048671.IV.ARCI..HH,1,0.9978142,0.9972038,0.9968561,0.9972723,0.9950918,0.9951708,0.9977912
1048671.IV.ATMC..EH,1,0.99595535,0.9959145,0.9922065,0.99475765,0.99349535,0.9939149,0.99651426
1048671.IV.CAFI..HH,1,0.99738663,0.99773717,0.9966493,0.99771214,0.9970198,0.9964001,0.9975744
1048671.IV.CRE..HH,1,0.9981705,0.9984073,0.99711084,0.9981927,0.9973622,0.9975757,0.9984138
1048671.IV.CSNT..HH,1,0.99823004,0.99855775,0.99851054,0.99824107,0.99823207,0.996838,0.9985233
1048671.IV.FROS..HH,1,0.99909353,0.99873537,0.9994098,0.99858,0.9986137,0.99650073,0.9989473
10493511.IV.CSNT..HH,0,0.0028909661,0.0026892726,0.003192239,0.0035446822,0.0023869062,0.004059887,0.0018782358
10493511.IV.OSSC..HH,0,0.002136711,0.0028470343,0.001098583,0.0040038098,0.0018371048,0.0023045999,0.001775843
1049781.IV.NOVE..EH,0,0.00197797,0.0034458062,0.0019195682,0.003293848,0.0027044883,0.0022825806,0.0017376628
1049781.IV.T0819..EH,1,0.99799734,0.9971002,0.99809986,0.9965249,0.99502397,0.9974226,0.99610066
1049781.IV.T0825..EH,0,0.0037137435,0.0034081677,0.0020967198,0.004189242,0.0020963845,0.0031248562,0.0018811201
1050241.GU.MAIM..HH,1,0.9966022,0.99764603,0.9922559,0.99532616,0.99243754,0.9927409,0.995581
1050241.IV.MSSA..HH,1,0.9990189,0.99905187,0.99907994,0.9986891,0.99886,0.9978399,0.9986675
1050241.GU.POPM..HH,1,0.99655306,0.99722123,0.9927354,0.9955568,0.99638224,0.99496514,0.99757093
1050241.MN.VLC..HH,0,0.038757373,0.055957615,0.061717812,0.09313342,0.0729243,0.07047848,0.030481318
1051001.IV.FIU..EH,0,0.0024683645,0.0022831096,0.0008812513,0.0034618124,0.001822351,0.0017476518,0.0016412109
1051131.IV.RAVA..EH,0,0.011074129,0.0073445435,0.009401232,0.0050487854,0.009686798,0.0073315115,0.004082182
10514481.IV.PRMA..HH,1,0.9979265,0.9966698,0.998755,0.9977077,0.99481815,0.9948691,0.9972996
10527341.IV.CAFI..HH,0,0.0014826688,0.0017328828,0.0025074552,0.0019131346,0.0015970842,0.0016979412,0.0013173987
10527341.GU.CARD..HH,0,0.0019256731,0.0026893788,0.0011994902,0.0046056467,0.0026823576,0.0030440846,0.0020337782
10527341.IV.CRMI..HH,1,0.99861646,0.99709845,0.99866235,0.9980033,0.9973546,0.99609524,0.9986172
10527341.IV.CSNT..HH,0,0.0010536961,0.002778971,0.0009982018,0.001140111,0.0012798083,0.0017663117,0.00060253753
10527341.IV.FROS..HH,0,0.006034812,0.0064534876,0.006777473,0.00499095,0.0035078228,0.0045954054,0.003827275
10527341.GU.MAIM..HH,0,0.0039804317,0.0033274416,0.001936362,0.0031756067,0.0019634613,0.002846574,0.0031083522
10527341.IV.MPPT..EH,1,0.9981993,0.99770015,0.998346,0.99849474,0.997315,0.99732566,0.997581
10527341.IV.OSSC..HH,0,0.002751835,0.0028127905,0.0016332632,0.0029421956,0.001461048,0.0027720782,0.0017124506
1053191.IV.RAVA..EH,0,0.0015597505,0.0010441513,0.0014976171,0.0019494281,0.00090238254,0.00078795914,0.00084038434
1053191.IV.T0822..EH,0,0.030180484,0.030580325,0.12103643,0.053839087,0.024056576,0.021070555,0.018583141
1055031.IV.RAVA..EH,0,0.0032802285,0.0052526784,0.008700557,0.0050537703,0.0045136153,0.005426029,0.002681877
1055031.IV.SERM..EH,0,0.0024432195,0.0040796003,0.0069232,0.005809727,0.0044664266,0.0034571013,0.003062204
1055031.IV.T0822..EH,1,0.996985,0.99697447,0.99762815,0.99632335,0.99511623,0.9959502,0.99831367
1056331.IV.CRE..HH,1,0.9945756,0.9953335,0.9934475,0.9943844,0.99304694,0.9906591,0.9945261
1056331.IV.CSNT..HH,1,0.9971642,0.99671316,0.9985556,0.99852234,0.99591464,0.9936761,0.99800724
1056331.IV.FROS..HH,1,0.999363,0.99912864,0.9994154,0.99923,0.9987986,0.9984243,0.99885154
1056331.IV.PARC..HH,1,0.9958133,0.9937757,0.993138,0.99569356,0.991213,0.98856366,0.99598986
1056331.IV.TRIF..HH,0,0.807524,0.8775164,0.74603933,0.8344433,0.83245903,0.82530266,0.89858395
1056461.IV.ARCI..HH,0,0.0018724994,0.0022982901,0.0013896233,0.0017367632,0.0014625007,0.0014810037,0.0016362617
1056461.IV.ATBU..EH,0,0.0054962244,0.009369263,0.0026384562,0.0036717204,0.0036453772,0.0026174134,0.006609069
1056461.IV.ATCC..EH,0,0.0061926586,0.012642878,0.003309378,0.007367642,0.006227956,0.007154881,0.008200217
1056461.IV.ATMI..HH,1,0.13102113,0.08882272,0.12778741,0.06427785,0.1014839,0.10865261,0.13553096
1056461.IV.ATPC..HH,0,0.024221491,0.030063353,0.033346746,0.015103616,0.01252628,0.009435024,0.024779428
1056461.IV.ATVA..EH,1,0.9953578,0.9956044,0.99597555,0.9960601,0.9911678,0.9916557,0.9956833
1056461.IV.ATVO..HH,1,0.9938584,0.99439126,0.9950458,0.9958326,0.99019647,0.9886341,0.9939434
1056461.IV.BADI..EH,0,0.0022689104,0.0039933897,0.0026424243,0.0027036513,0.0035389923,0.0032428827,0.0015605437
1056461.IV.CAFI..HH,1,0.99899703,0.9992143,0.9985661,0.99914086,0.9984669,0.9985183,0.99915767
1056461.IV.CASP..HH,1,0.9942479,0.99661297,0.9941327,0.9961428,0.99496657,0.9922472,0.99589086
1056461.IV.CDCA..EH,0,0.020269401,0.022323234,0.023837686,0.054779097,0.029054591,0.038939644,0.020898363
1056461.IV.CSNT..HH,1,0.99538785,0.9959424,0.9963272,0.9884878,0.9894909,0.9842142,0.99582314
1056461.IV.FROS..HH,1,0.99923706,0.9994418,0.9994217,0.9992988,0.9984236,0.997733,0.998979
1056461.GU.MAIM..HH,1,0.9967092,0.9946694,0.9897261,0.99425113,0.99279636,0.9887826,0.9955023
1056461.IV.MAON..HH,0,0.010855589,0.009911648,0.009953376,0.007692029,0.005046599,0.0076875165,0.009099308
1056461.IV.MCIV..HH,0,0.0077650542,0.0075925244,0.0024110808,0.0077576097,0.0036927674,0.0041963058,0.0048936163
1056461.IV.MURB..HH,0,0.020280426,0.017381528,0.021701189,0.05885886,0.025942028,0.026000513,0.030815372
1056461.IV.PARC..HH,1,0.9986325,0.9989262,0.998425,0.9990244,0.99767226,0.9980756,0.9990181
1056461.IV.SACS..HH,0,0.0020544552,0.0024400163,0.0032044582,0.0024094537,0.0017128331,0.0021017941,0.0019471619
1056461.IV.SSP9..EH,0,0.0019491693,0.0025704927,0.0022247285,0.0027961854,0.002121707,0.0020348025,0.0022914752
1057221.IV.TEOL..HH,1,0.99868935,0.9980781,0.998784,0.9982346,0.9975527,0.99749064,0.99892753
1057321.IV.TEOL..HH,1,0.9979577,0.997336,0.9986488,0.99766785,0.9974935,0.9965827,0.9978933
1058621.IV.T0800..HH,0,0.003747989,0.0033921765,0.001143167,0.0021173006,0.0019685829,0.0019730022,0.0022173251
1058621.IV.T0822..EH,1,0.99448353,0.9923866,0.99726343,0.9939235,0.991767,0.99332726,0.995243
1059681.IV.T0819..EH,1,0.989618,0.9928912,0.99225825,0.98767465,0.9845435,0.9866043,0.99324256
1061571.IV.RAVA..EH,0,0.0007344584,0.0009502694,0.0007386924,0.0017522664,0.001019748,0.00066808384,0.00097026076
10623711.IV.FROS..HH,1,0.9968644,0.99657935,0.9979748,0.9979322,0.99773324,0.9979023,0.9991912
1063281.IV.T0822..EH,0,0.043437716,0.060094435,0.07541352,0.05468747,0.039815962,0.027882677,0.039501477
1063911.IV.RAVA..EH,0,0.0029803694,0.0024233058,0.0019662094,0.002236232,0.0023007395,0.002140181,0.001651522
1064441.IV.FIU..EH,1,0.996756,0.9966522,0.99630535,0.99616563,0.9970234,0.99571496,0.998085
1064441.IV.T0800..HH,1,0.9985898,0.99880433,0.9978155,0.9981008,0.99771416,0.9975278,0.999258
1065041.IV.T0822..EH,1,0.9976961,0.99825233,0.9953394,0.99787295,0.99797004,0.996896,0.99845207
1065271.NI.CGRP..HH,0,0.001080042,0.0015362385,0.0019438297,0.0021620893,0.0016110077,0.002208911,0.0015910994
1065271.IV.RAVA..EH,0,0.0072497493,0.0050766547,0.001861078,0.0077124303,0.005865519,0.0067102322,0.0044885785
1065271.IV.SERM..EH,0,0.005936202,0.008983276,0.0077888677,0.004117992,0.005098536,0.0071750637,0.0068379594
1065271.IV.T0800..HH,1,0.99834347,0.9980007,0.9984627,0.99811554,0.99767774,0.99608094,0.99848807
1065271.IV.T0822..EH,1,0.9982145,0.9979163,0.9958918,0.99751943,0.99706984,0.996318,0.9974316
1065871.NI.CGRP..HH,0,0.002450777,0.002795145,0.00466425,0.003927253,0.0026001688,0.0029037127,0.002843813
1065871.IV.CSNT..HH,1,0.99823797,0.9972705,0.99778986,0.997413,0.9966876,0.996678,0.9980445
1065871.IV.RAVA..EH,0,0.006374099,0.007520935,0.0028018795,0.004363142,0.0022220733,0.00267057,0.0028033974
1065871.IV.ROVR..HH,0,0.0023427668,0.0028033748,0.0039611678,0.0025521005,0.0021932651,0.002919318,0.0023265125
1065871.IV.T0800..HH,1,0.99016905,0.99270695,0.9946707,0.9879781,0.98133874,0.964242,0.9898561
1065871.IV.T0822..EH,1,0.99796945,0.99873513,0.9984281,0.99860495,0.99821234,0.9968566,0.99888915
1065871.IV.TEOL..HH,0,0.0038100882,0.0039091096,0.0042178906,0.0057342257,0.0038467476,0.0036657196,0.0046657515
1065871.IV.ZCCA..HH,1,0.999119,0.99925596,0.99933404,0.9992374,0.99861693,0.99882823,0.99910456
1066161.IV.T0800..HH,1,0.99859315,0.99891007,0.99946207,0.9987519,0.998825,0.99838114,0.99886787
1066161.IV.T0822..EH,1,0.9979748,0.9979868,0.99848914,0.9987564,0.9985952,0.9967527,0.99860305
10672551.GU.EQUI..HH,0,0.0026955262,0.0021294106,0.0037438925,0.0029489303,0.0019263733,0.002227551,0.0017165542
10672551.GU.GORR..HH,1,0.99689484,0.9962132,0.9979265,0.9938883,0.9951023,0.9969501,0.9966266
10672551.GU.GRAM..HH,1,0.99923825,0.99922884,0.9988944,0.998094,0.997815,0.99798226,0.999321
10672551.IV.MSSA..HH,1,0.99283046,0.9949822,0.99557436,0.9831172,0.9870918,0.9969079,0.9937543
1067291.IV.T0800..HH,1,0.9953961,0.980853,0.9970714,0.9883372,0.98456836,0.99052984,0.9937909
1067291.IV.T0822..EH,1,0.9965396,0.99559385,0.9962578,0.99706274,0.9953402,0.9950146,0.9977049
1068171.IV.ERBM..EH,1,0.99888736,0.9987105,0.9991652,0.9987715,0.9975667,0.9976998,0.99927574
1068171.GU.MAIM..HH,0,0.002632017,0.0034044352,0.003256496,0.003959183,0.001820632,0.003939428,0.0015775595
